"B-S-F";"Balcon-Saville-Freedman";"Islington";"England";"1922";""
"Warners";"Warner Bros.";"Burbank";"USA";"1923";"1990"
"Columbia";"Columbia Pictures";"Burbank";"USA";"1924";"1990"
"Gainsborough";"Gainsborough";"";"England";"1924";""
"Merabpomfilm";"Mev rabpomfil'm";"Moscow";"USSR";"1924";"1931?"
"Prometheus";"Int.Arbeiterhilfe";"";"Germany";"1926";"1929"
"Lion";"British Lion";"London";"UK";"1925?";"1976"
"Emelka";"";"Munich";"Germany";"1925";""
"Vitaphone";"Warners and Western Electric";"";"USA";"1926";"1931"
"Cines(2)";"";"";"Italy";"1926";""
"PRC (1)";"Producers Releasing Corporation";"";"";"1930";"1947"
"Elstree";"British International Pictures";"Elstree";"England";"1927";""
"RKO";"RKO Radio";"Hollywood";"USA";"1929";"1955"
"Allied";"Allied Artists";"Los Angeles";"USA";"1930";"1994+"
"Nero";"Nero Film A.G.";"Berlin";"Germany";"<1928";"1940"
"Paris";"";"Paris";"France";"1932?";"1948?"
"Goldwyn";"Sam Goldwyn Productions";"";"USA";"1932";"1947?"
"ATP";"Associated Talking Pictures";"";"England";"1932?";""
"Lime Grove";"Gaumont British";"";"England";"1933";""
"20th Cent.";"Twentieth Century";"Hollywood";"CA";"1933";""
"London";"London Films - Korda";"London";"England";"1933";""
"UFA";"UFI";"Neubabelsberg";"Germany";"1933";"1962"
"20th Cent.";"20th Century Productions";"Century City?";"USA";"1933";"1935"
"Reliance";"";"LA";"USA";"1934";""
"GFD";"Gaumont British";"";"England";"1934";""
"Monogram";"Allied Artists";"Hollywood";"USA";"1934";"1953"
"Republic";"Republic Film Corporation";"San Fernando, Hollywood";"USA";"1935";"1959"
"Fox";"20th Cent.Fox";"Century City";"USA";"1935";"1994+"
"MGM";"Metro-Goldwyn-Mayer";"";"USA";"1935";"1983"
"UFI";"Nazi Government";"";"Germany";"1936";""
"Korda";"Korda";"Denham";"England";"1936";"195x"
"Selznick";"";"Hollywood";"USA";"1936";"1944"
"Pinewood";"Gainsborough";"";"England";"1937";""
"Cinetone";"NV Filmex";"Amsterdam";"Holland";"1937";"1940"
"First National";"Warner Brothers";"";"USA";"1939?";""
"Teddington";"Warner Brothers, First National";"London";"England";"1931";"1952"
"NEF";"Novelles Editions Francaises";"Paris";"France";"1939";""
"ENSA";"Entertainment National Service Association";"";"England";"1940";"1945"
"Roach";"Roach Studios";"Hollywwood";"CA,USA";"19xx";"19x2"
"DEFA";"D.R.Germany";"Berlin";"D.R.Germany";"1946";"1994+"
"Eagle Lion";"Eagle Lion";"";"";"1947";"1951"
"New World";"";"Rome";"Italy";"1947?";"1994+"
"Transatlantic";"Transatlantic";"London";"England";"1948";"1949?"
"ARC";"American Releasing Corporation";"Palo Alto";"USA";"1954";"1956"
"AIP";"American International Pictures";"";"USA";"1956";"1980"
"Filmgroup";"American International Pictures";"";"USA";"1956+";"1980-"
"Trans-American";"American International Pictures";"";"USA";"1956+";"1980-"
"Hallmark";"American International Pictures";"";"USA";"1956+";"1980-"
"UFA 2";"UFA, F.R.Germany";"Babelsberg";"F.R.Germany";"1956,1962";"1971"
"Revue";"MCA";"Universal City";"USA";"1959-";""
"Malpaso";"Malpaso Productions";"Hollywood";"USA";"1968";""
"NFDC";"National Film Development Corp.";"New Delhi";"India";"1970?";""
"Zoetrope";"Warners";"San Francisco";"USA";"1970";""
"UFA";"Bertelsmann";"Babelsberg";"F.R.Germany";"1971";"1994+"
"Box Office";"Box Office International";"";"France";"1972";""
"Paramount";"Gulf+Western Corp";"Los Angeles";"USA";"";"1994+"
"Golden Harvest";"Golden Harvest Studio";"HongKong";"China";"<1972";"1994+"
"Cathay";"Cathay Film Company";"HongKong";"China";"<1972";"1994+"
"Producers Distr.Corp";"";"";"USA";"";"1940"
"PRC";"Pathé";"";"USA";"1940";"1949"
"London Films";"";"London";"England";"1945?";"1994+"
"Pathe 2";"Pathé Communications";"";"Italy";"1946?";"1994+"
"Eagle Lion";"Rank";"";"";"1949";"1950"
"Cines(3)";"";"";"Italy";"1949";""
"Biograph";"";"The Bronx";"USA";"194x";""
"FilmMakers";"Film Makers";"";"USA";"1950";"1956?"
"Woodfall";"Woodfall Productions";"";"G.B.";"1956";"1960?"
"MGM British";"Metro-Goldwyn-Mayer";"Elstree";"England";"1949";""
"Astor";"indep";"";"USA";"195x";"195x"
"Howco";"indep";"";"USA";"195x";"195x"
"Lippert";"indep";"";"USA";"195x";"195x"
"RealArt";"indep";"";"USA";"195x";"195x"
"UGC";"Union Generale Cinamatographique";"";"France";"1950";""
"Condor";"Deutsche Condor Film GmbH";"Munchen";"F.R.Germany";"1956";"1994+"
"laPleiade";"Films de la Pléiade";"";"France";"1960";""
"MCA";"";"";"USA";"before 1960";"1990"
"Filmservice";"?";"Los Angeles";"USA";"1960";""
"Shamley";"Paramount?";"Los Angeles";"USA";"1960";""
"Film House";"The Film House";"Melbourne";"Australia";"1965";"1994+"
"Carosse";"Films du Carosse";"Paris";"France";"1961";"1984"
"Essexe";"Essex Productions";"";"USA";"1965";""
"Bavaria";"Bavaria Atelier";"Munchen";"F.R.Germany";"1968";"1972+"
"NWP";"New World Pictures";"Hollywood";"U.S.A.";"1970";"1994+"
"Fantasy";"";"Berkely CA";"U.S.A.";"1970";"1994+"
"Todrest";"";"";"France";"1981";""
"Xian Film Studios";"P.R.China";"Xian Shaanxi";"P.R.China";"1983";""
"MGM-U.A";"MGM-U.A. Communications Co.";"Hollywood";"USA";"1983";"1990"
"Paulist";"Paulist Pictures";"Malibu CA";"USA";"1988";""
"Granada";"";"";"England";"";"1994+"
"Carolco";"";"North-carolina";"USA";"";"1994+"
"Thames";"";"";"England";"";"1994+"
"Double";"Double Head";"";"Australia";"1975";"1994+"
"Orion";"Orion";"";"USA";"before 1979";"1997"
"Filmways";"Filmways";"";"USA";"1980";"1981"
"Miramax";"";"";"USA";"1980";""
"Cobra";"Cobra Filmproduktion";"";"Ge";"198?";""
"Lorimar";"";"";"USA";"1980?";"1994+"
"Buena Vista";"Disney";"";"USA";"1980";"1994+"
"Galaxie";"Les Films Galaxie";"";"France";"1981";""
"Lee Rich";"Lee Rich Productions, Warners";"";"USA";"1983?";"1994+"
"TriStar";"Tri-Star Pictures Inc.";"";"USA";"1985?";"1990"
"NewLine";"New Line Cinema";"";"USA";"1989";"1994+"
"Gracie";"";"Hollywood";"USA";"1989";"1994+"
"CastleRock";"";"";"USA";"1989";"1994+"
"Caravan";"";"";"USA";"";"1990"
"MCA";"Matsushita";"";"USA";"1990";"1994+"
"Warners";"Time-Warner";"Burbank";"USA";"1990";"1994+"
"Universal";"MCA, Matsushita";"Osaka";"Japan";"1992?";"1994+"
"Taksen";"";"Joinville";"France";"";"1994+"
"Columbia";"Sony Software Corp";"Burbank";"USA";"1990";"1994+"
"TriStar";"Sony Software Corp";"";"USA";"1990";"1994+"
"Vivid";"Vivid Video";"Los Angeles";"USA";"1990";"1998+"
"Wicked";"";"Los Angeles";"USA";"1990";"1998+"
"VCA";"";"Los Angeles";"USA";"1990";"1998+"
"Metro";"";"Los Angeles";"USA";"1990";"1998+"
"Regency";"Regency Enterprises";"";"Holland";"1991";"1998+"
"Paramount";"Viacom Corp.";"Los Angeles";"USA";"1993";"1994+"
"Turner";"Turner Broadcasting";"Hollywood";"USA";"1993";"1994+"
"Graniet";"Graniet Film";"";"The Netherlands";"1993";"1998+"
"Pixar";"Pixar Animation Studios";"Hollywood";"USA";"1995";""
"Miramax";"Miramx";"Hollywood";"USA";"1996";""
"Dimension";"Dimension";"Hollywood";"USA";"1996";""
"Gregory";"Gregory Productions";"";"USA";"1996";""
"Jagged";"Jagged Films";"";"USA";"1998";""
"LionsGate";"Lions Gate Releasiung";"";"USA";"1998";""
